dish Name,Price
Raita,$4.00
Pakoras,$5.49
Samosas,$5.49
Tandoori Mix Plate (al a carte),$15.99
Chicken Tikka with Bone (al a carte),$12.99
Chicken Reshmi (al a carte),$12.99
Boti Bihari Kabob (al a carte),$13.99
Seekh Kabob (al a carte),$12.99
Chicken Tala Gosht (al a carte),$13.99
Nehari (al a carte),$12.99
Goat Paya (al a carte),$14.99
Chicken Haleem (al a carte),$12.99
Mutton Qorma (al a carte),$14.99
Maghaz Masala (al a carte),$14.99
Chicken Kaleji (a la carte),$13.99
Chicken Tikka Masala Curry (al a carte),$12.99
Chicken Qorma Curry (al a carte),$12.99
Chicken Jal Farezi Curry (al a carte),$12.99
Chicken Karahi Curry (al a carte),$12.99
Chicken Palak Curry (al a carte),$12.99
Aaloo Qeema Curry (al a carte),$13.99
Tala Gosht Curry (al a carte),$13.99
Lamb Qorma Curry (al a carte),$14.99
Lamb Karahi Curry (al a carte),$14.99
Lamb Palak Curry (al a carte),$14.99
Shrimp Tikka Masala Curry (al a carte),$15.49
Shrimp Karahi Curry (al a carte),$15.49
Shrimp Jal Farezi Curry (al a carte),$15.49
Shrimp Palak Curry (al a carte),$15.49
Dal Tarka (al a carte),$10.99
Aaloo Gobi (al a carte),$12.99
Aaloo Palak (al a carte),$12.99
Palak Paneer (al a carte),$12.99
Paneer Tikka Masala (al a carte),$12.99
Bhindi Masala (al a carte),$13.99
Chana Masala (al a carte),$11.99
Baigan Bharta (al a carte),$12.99
Nauratan Qorma (al a carte),$12.99
Plain Rice,$3.49
Vegetable Biryani,$11.99
Chicken Biryani,$12.99
Goat Biryani,$14.99
Shrimp Biryani,$14.99
Plain Naan,$2.25
Butter Naan,$2.99
Garlic Naan,$3.50
Onion Naan,$3.50
Chilli Naan,$3.50
Roti,$3.00
Paratha,$4.49
Green Sauce,$3.50
Red Sauce,$4.00
Tikka Masala Sauce,$6.50
Hummus *NEW*,$2.99
Mango Chutney *NEW*,$1.25
Mango Pickle *NEW*,$1.25
Kulfi,$2.99
Kheer,$2.99
Ras Malai,$3.99
Gajar Halwa,$3.99
Gulab Jamun,$2.99
Sheer Qorma,$3.99
Chai,$2.49
Sweet Lassi,$3.49
Salty Lassi,$3.49
Mango Lassi,$4.49
Mango Shake,$4.49
Ice Tea,$2.49
Soda,$1.50
Iced Tea,$2.49
Bottled Water,$1.50
